Sample Index,PPO Waveform,Other Waveform,SpO2,Heart Rate
0,4,255,,
1,3,0,,
2,3,0,,
3,3,0,,
4,2,0,,
5,2,0,,
6,2,0,,
7,2,0,,
8,1,0,,
9,1,55,,
10,1,53,,
11,1,52,,
12,1,50,,
13,0,50,,
14,0,50,,
15,0,47,,
16,0,47,,
17,0,46,,
18,0,45,,
19,0,44,,
20,1,44,,
21,2,43,,
22,4,42,,
23,5,42,,
24,7,41,,
25,8,41,,
26,9,40,,
27,9,255,,
28,9,0,,
29,8,0,,
30,8,0,,
31,7,0,,
32,7,0,,
33,7,0,,
34,6,0,,
35,5,0,,
36,5,75,,
37,4,73,,
38,4,71,,
39,4,70,,
40,4,67,,
41,4,65,,
42,4,62,,
43,4,60,,
44,3,58,,
45,3,57,,
46,3,56,,
47,3,56,,
48,2,56,,
49,2,56,,
50,2,56,,
51,1,55,,
52,1,54,,
53,1,53,,
54,0,255,,
55,0,0,,
56,0,0,,
57,0,0,,
58,0,0,,
59,0,0,,
60,0,0,,
61,0,0,,
62,0,0,,
63,0,40,,
64,0,39,,
65,0,39,,
66,0,39,,
67,0,38,,
68,0,38,,
69,0,38,,
70,2,38,,
71,4,39,,
72,6,43,,
73,8,49,,
74,10,57,,
75,11,66,,
76,11,75,,
77,11,81,,
78,10,85,,
79,10,86,,
80,9,213,,
81,9,255,,
82,8,0,,
83,7,0,,
84,7,0,,
85,7,0,,
86,6,0,,
87,6,0,,
88,6,0,,
89,6,0,,
90,6,63,,
91,6,63,,
92,6,63,,
93,6,63,,
94,5,62,,
95,5,61,,
96,5,60,,
97,4,58,,
98,4,56,,
99,4,55,,
100,3,53,,
101,3,52,,
102,3,51,,
103,2,50,,
104,2,49,,
105,2,48,,
106,1,47,,
107,1,45,,
108,1,255,,
109,1,0,,
110,0,0,,
111,0,0,,
112,0,0,,
113,0,0,,
114,0,0,,
115,0,0,,
116,0,0,,
117,0,47,,
118,0,54,,
119,0,64,,
120,1,73,,
121,3,79,,
122,6,83,,
123,8,84,,
124,9,83,,
125,10,81,,
126,11,79,,
127,10,77,,
128,10,75,,
129,10,72,,
130,9,70,,
131,8,67,,
132,8,64,,
133,7,62,,
134,7,60,,
135,6,255,,
136,6,0,,
137,5,0,,
138,5,0,,
139,5,0,,
140,5,0,,
141,5,0,,
142,5,0,,
143,5,0,,
144,4,49,,
145,4,47,,
146,4,45,,
147,3,44,,
148,3,43,,
149,3,41,,
150,2,40,,
151,2,39,,
152,2,38,,
153,1,37,,
154,1,36,,
155,0,35,,
156,0,35,,
157,0,34,,
158,0,34,,
159,0,34,,
160,0,33,,
161,0,32,,
162,0,255,,
163,0,0,,
164,0,0,,
165,0,0,,
166,0,0,,
167,0,0,,
168,0,0,,
169,0,0,,
170,0,0,,
171,0,79,,
172,0,77,,
173,2,75,,
174,6,72,,
175,8,69,,
176,10,66,,
177,11,64,,
178,11,61,,
179,11,59,,
180,11,57,99,41
181,10,56,99,41
182,10,55,99,41
183,9,55,99,41
184,9,55,99,41
185,8,54,99,41
186,7,54,99,41
187,7,53,99,41
188,6,53,99,41
189,6,255,99,41
190,5,0,99,41
191,5,0,99,41
192,5,0,99,41
193,5,0,99,41
194,5,0,99,41
195,5,0,99,41
196,5,0,99,41
197,5,0,99,41
198,5,35,99,41
199,4,34,99,41
200,4,33,99,41
201,4,32,99,41
202,3,32,99,41
203,3,31,99,41
204,2,31,99,41
205,2,30,99,41
206,2,30,99,41
207,1,30,99,41
208,1,30,99,41
209,1,32,99,41
210,0,37,99,41
211,0,45,99,41
212,0,53,99,41
213,0,63,99,41
214,0,71,99,41
215,0,76,99,41
216,0,255,99,41
217,0,0,99,41
218,0,0,99,41
219,0,0,99,41
220,0,0,99,41
221,0,0,99,41
222,1,0,99,41
223,3,0,99,41
224,5,0,99,41
225,8,56,99,41
226,9,56,99,41
227,11,57,99,41
228,11,58,99,41
229,11,58,99,41
230,11,57,99,41
231,10,57,99,41
232,10,56,99,41
233,9,55,99,41
234,8,53,99,41
235,7,51,99,41
236,7,50,99,41
237,6,49,99,41
238,6,47,99,41
239,6,46,99,41
240,6,44,99,41
241,6,43,99,41
242,6,42,99,41
243,6,255,99,41
244,6,0,99,41
245,6,0,99,41
246,6,0,99,41
247,6,0,99,41
248,6,0,99,41
249,5,0,99,41
250,5,0,99,41
251,4,0,99,41
252,4,38,99,41
253,4,45,99,41
254,3,49,99,41
255,3,54,99,41
256,3,65,99,41
257,2,75,99,41
258,2,81,99,41
259,2,86,99,41
260,2,87,99,41
261,1,87,99,41
262,1,86,99,41
263,1,84,99,41
264,1,81,99,41
265,1,79,99,41
266,0,77,99,41
267,0,75,99,41
268,0,72,99,41
269,0,70,99,41
270,1,255,99,41
271,2,0,99,41
272,3,0,99,41
273,5,0,99,41
274,7,0,99,41
275,9,0,99,41
276,11,0,99,41
277,12,0,99,41
278,12,0,99,41
279,12,57,99,41
280,12,55,99,41
281,12,53,99,41
282,11,51,99,41
283,11,50,99,41
284,10,49,99,41
285,9,48,99,41
286,9,46,99,41
287,8,45,99,41
288,8,43,99,41
289,8,42,99,41
290,7,41,99,41
291,7,40,99,41
292,7,39,99,41
293,7,38,99,41
294,7,37,99,41
295,7,36,99,41
296,7,36,99,41
297,6,255,99,41
298,6,0,99,41
299,6,0,99,41
300,5,0,99,41
301,5,0,99,41
302,4,0,99,41
303,4,0,99,41
304,4,0,99,41
305,3,0,99,41
306,3,216,99,41
307,3,85,99,41
308,2,83,99,41
309,2,81,99,41
310,2,78,99,41
311,1,75,99,41
312,1,73,99,41
313,1,71,99,41
314,1,69,99,41
315,1,68,99,41
316,0,68,99,41
317,0,67,99,41
318,0,67,99,41
319,1,66,99,41
320,2,66,99,41
321,4,64,99,41
322,7,63,99,41
323,9,61,99,41
324,11,255,99,41
325,12,0,99,41
326,12,0,99,41
327,12,0,99,41
328,12,0,99,41
329,12,0,99,41
330,12,0,99,41
331,11,0,99,41
332,11,0,99,41
333,10,44,99,41
334,9,44,99,41
335,9,44,99,41
336,8,44,99,41
337,8,43,99,41
338,7,43,99,41
339,7,42,99,41
340,7,42,99,41
341,7,42,99,41
342,7,46,99,41
343,7,51,99,41
344,7,61,99,41
345,6,71,99,41
346,6,81,99,41
347,6,88,99,41
348,5,91,99,41
349,5,92,99,41
350,4,91,99,41
351,4,255,99,41
352,3,0,99,41
353,3,0,99,41
354,3,0,99,41
355,2,0,99,41
356,2,0,99,41
357,2,0,99,41
358,1,0,99,41
359,1,0,99,41
360,1,60,99,44
361,1,60,99,44
362,1,59,99,44
363,1,59,99,44
364,1,58,99,44
365,1,56,99,44
366,1,55,99,44
367,1,53,99,44
368,1,51,99,44
369,0,50,99,44
370,2,48,99,44
371,4,46,99,44
372,7,45,99,44
373,9,44,99,44
374,10,43,99,44
375,11,42,99,44
376,11,41,99,44
377,11,40,99,44
378,10,255,99,44
379,10,0,99,44
380,9,0,99,44
381,8,0,99,44
382,8,0,99,44
383,7,0,99,44
384,6,0,99,44
385,6,0,99,44
386,5,0,99,44
387,4,66,99,44
388,4,73,99,44
389,4,78,99,44
390,4,81,99,44
391,4,209,99,44
392,4,79,99,44
393,4,77,99,44
394,3,74,99,44
395,3,71,99,44
396,3,68,99,44
397,2,65,99,44
398,2,62,99,44
399,1,59,99,44
400,1,57,99,44
401,1,57,99,44
402,0,56,99,44
403,0,56,99,44
404,0,56,99,44
405,0,255,99,44
406,0,0,99,44
407,0,0,99,44
408,0,0,99,44
409,0,0,99,44
410,0,0,99,44
411,0,0,99,44
412,0,0,99,44
413,0,0,99,44
414,0,37,99,44
415,0,35,99,44
416,0,33,99,44
417,0,32,99,44
418,3,30,99,44
419,5,29,99,44
420,7,28,99,54
421,9,27,99,54
422,10,25,99,54
423,11,24,99,54
